source_id,path,kind,authority,status,version,owner,feature_ids,tags,updated_at,expires_at,access_scope,conflict_group,resolution_state
F003_CFG_WORLD,config/tables/f003_v2_world.csv,config,approved,active,F003-FARM.2,design_owner,F-003,world;map;camera,2026-07-25,,project,,
F003_CFG_LOCALE,config/tables/f003_v2_locale.csv,config,approved,active,F003-FARM.2,design_owner,F-003,locale;zh-CN;en,2026-07-25,,project,,
F004_CFG_DISTRICTS,config/tables/f004_districts.csv,config,supporting,superseded,F004-DISTRICT.1,design_owner,F-004,districts;bounds;not-runtime;migration-input,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
F004_CFG_SITES,config/tables/f004_sites.csv,config,supporting,superseded,F004-DISTRICT.1,design_owner,F-004,sites;footprints;not-runtime;migration-input,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
F004_CFG_ITEMS,config/tables/f004_items.csv,config,supporting,superseded,F004-DISTRICT.1,design_owner,F-004,items;economy;not-runtime;migration-input,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
F004_CFG_SOURCES,config/tables/f004_sources.csv,config,supporting,superseded,F004-DISTRICT.1,design_owner,F-004,sources;production;not-runtime;migration-input,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
F004_CFG_ANIMALS,config/tables/f004_animals.csv,config,supporting,superseded,F004-DISTRICT.1,design_owner,F-004,animals;production;not-runtime;migration-input,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
F004_CFG_RECIPES,config/tables/f004_recipes.csv,config,supporting,superseded,F004-DISTRICT.1,design_owner,F-004,recipes;industry;not-runtime;migration-input,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
F004_CFG_REQUESTS,config/tables/f004_requests.csv,config,supporting,superseded,F004-DISTRICT.1,design_owner,F-004,requests;orders;not-runtime;migration-input,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
F004_CFG_LOCALE,config/tables/f004_locale.csv,config,supporting,superseded,F004-DISTRICT.1,design_owner,F-004,locale;zh-CN;en;not-runtime;migration-input,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
F003_ACCEPT_RECEIPT,docs/receipts/F-003-FARM2-ENG-002.md,qa,approved,active,F003-FARM.2,engineering_owner,F-003,acceptance;playable;runtime,2026-07-25,,project,,
F003_VQ_RECEIPT,docs/receipts/F003-VQ-001.md,qa,approved,active,F003-VQ.1,producer,F-003,visual;runtime-slice;approved,2026-07-25,,project,,
F003_VQ_SYNC_RECEIPT,docs/receipts/F003-VQ-SYNC-001.md,pm,approved,active,F003-VQ.1,producer,F-003,lock;sync;figma-blocked,2026-07-25,,project,,
F004_DESIGN_RECEIPT,docs/receipts/F-004-DESIGN-001.md,qa,approved,active,F004-DISTRICT.1,producer,F-004,design;figma-blocked;runtime-false,2026-07-25,,project,,
F003_RUNTIME_EVIDENCE,docs/evidence/F-003-FARM2/README.md,qa,supporting,active,F003-FARM.2,engineering_owner,F-003,runtime;evidence;720x1280,2026-07-25,,project,,
F003_VQ_EVIDENCE,docs/evidence/F003-VQ.1/README.md,qa,supporting,active,F003-VQ.1,producer,F-003,visual;evidence;720x1280;no-scale-out,2026-07-25,,project,,
F003_VQ_CHECKLIST,docs/evidence/F003-VQ.1/runtime-parity-checklist.md,qa,supporting,active,F003-VQ.1,producer,F-003,visual;parity;checklist,2026-07-25,,project,,
F003_RUNTIME_MANIFEST,assets/runtime/f003_farm2/runtime-manifest.json,art,supporting,active,F003-FARM.2,art_owner,F-003,assets;runtime;manifest,2026-07-25,,project,,
F003_CODE_MODEL,scripts/town/farm2_model.gd,code,supporting,active,F003-FARM.2,engineering_owner,F-003,model;production;orders,2026-07-25,,project,,
F003_CODE_VIEW,scripts/town/farm2_view.gd,code,supporting,active,F003-VQ.1,engineering_owner,F-003,view;interaction;720x1280,2026-07-25,,project,,
F003_CODE_FEEDBACK,scripts/town/farm2_feedback_layer.gd,code,supporting,active,F003-VQ.1,engineering_owner,F-003,feedback;motion;reduced-motion,2026-07-25,,project,,
F003_TEST_SCENE,tests/test_farm2_scene.gd,qa,supporting,active,F003-VQ.1,engineering_owner,F-003,tests;behavior;runtime,2026-07-25,,project,,
PRODUCT_REBASE_DECISION,docs/decisions/PD-002-animal-resident-town-rebaseline.md,pm,canonical,active,PRODUCT-REBASELINE.1,producer,GLOBAL;F-004,residents;slow-town;low-frequency;supersedes-manual-production,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
PD002_READ_ONLY_RECEIPT,docs/receipts/PD-002-READ-ONLY.md,qa,approved,active,PRODUCT-REBASELINE.1,producer,GLOBAL;F-004,rag;control-plane;baseline;locks;not-runtime,2026-07-25,,project,,
F004_RESIDENT_SOURCE,docs/features/F-004-resident-town-spatial-autonomy.md,design,approved,active,F004-RESIDENT.1-V1.1,design_owner,F-004,grid;footprints;roads;residents;jobs;vehicle-orders;penpot-readback-verified;user-review-pending;not-runtime,2026-07-26,,project,F004_PRODUCT_DIRECTION,resolved
F004_RESIDENT_UIUX,docs/uiux/F004-RESIDENT.1-ui-priority.md,design,supporting,active,F004-RESIDENT.1-V1.1,design_owner,F-004,uiux;720x1280;states;penpot-readback-verified;cloud-export-pending;no-placeholders,2026-07-26,,project,,
F004_RESIDENT_VQ,docs/design/F004-RESIDENT.1-visual-quality-contract.md,art,supporting,active,F004-RESIDENT.1-V1.1,art_owner,F-004,visual-contract;runtime-layers;motion;accessibility;penpot-readback-verified;user-review-pending;no-scale-out,2026-07-26,,project,,
F004_RESIDENT_FIGMA_REGISTER,output/figma/F004-RESIDENT.1/README.md,design,supporting,superseded,F004-RESIDENT.1-V1.0,design_owner,F-004,figma;figjam;historical;seat-view;transport;browser,2026-07-26,,project,EDITABLE_DESIGN_TOOL,resolved
F004_RESIDENT_PENPOT_REGISTER,output/penpot/F004-RESIDENT.1/README.md,design,supporting,active,F004-RESIDENT.1-V1.1,design_owner,F-004,penpot;editable;cloud-file;readback-verified;cloud-export-pending;user-review-pending;not-runtime,2026-07-26,,project,EDITABLE_DESIGN_TOOL,resolved
F004_RESIDENT_PENPOT_SCREEN_SOURCE,output/penpot/F004-RESIDENT.1/F004-RESIDENT.1-penpot-screen-source.svg,design,supporting,disabled,F004-RESIDENT.1-V1.1,design_owner,F-004,penpot;svg;720x1280;frames;import-source;not-runtime,2026-07-26,,project,,
F004_RESIDENT_PENPOT_FLOW_SOURCE,output/penpot/F004-RESIDENT.1/F004-RESIDENT.1-penpot-flow-source.svg,design,supporting,disabled,F004-RESIDENT.1-V1.1,design_owner,F-004,penpot;svg;ue;state-machines;import-source;not-runtime,2026-07-26,,project,,
F004_RESIDENT_PENPOT_MANIFEST,output/penpot/F004-RESIDENT.1/penpot-import-manifest.json,design,supporting,active,F004-RESIDENT.1-V1.1,design_owner,F-004,penpot;manifest;object-refs;readback-verified;cloud-export-pending;not-runtime,2026-07-26,,project,,
F004_RESIDENT_TASK,docs/tasks/F004-RESIDENT.1-design-rebaseline.md,pm,supporting,active,F004-RESIDENT.1-V1.1,producer,F-004,task;design-package-v1.1;penpot-readback-verified;user-review-pending;runtime-false,2026-07-26,,project,,
F004_RESIDENT_FINAL_RECEIPT,docs/receipts/F004-RESIDENT-DESIGN-001.md,qa,approved,active,F004-RESIDENT.1,producer,F-004,decision-receipt;design-review;figma-blocked;runtime-false,2026-07-25,,project,,
F004_RESIDENT_STRUCTURED_DECISION,docs/receipts/F004-RESIDENT-DECISION-STRUCTURED.txt,pm,approved,active,F004-RESIDENT.1,producer,F-004,control-plane;structured-decision;design-review;runtime-false,2026-07-25,,project,,
F004_RESIDENT_CONTINUE_READONLY,docs/receipts/F004-RESIDENT-CONTINUE-READ-ONLY-002.md,qa,approved,active,F004-RESIDENT.1-V1.0,producer,F-004,rag;control-plane;read-only;continue-existing;not-runtime,2026-07-26,,project,,
F004_RESIDENT_REBASELINE_RECEIPT,docs/receipts/F004-RESIDENT-DESIGN-REBASELINE-002.md,qa,approved,active,F004-RESIDENT.1-V1.0,producer,F-004,a-h;design-package-complete;figma-blocked;runtime-false;document-qa,2026-07-26,,project,,
F004_RESIDENT_REAFFIRM_READONLY,docs/receipts/F004-RESIDENT-PRODUCER-REAFFIRM-READ-ONLY-003.md,qa,approved,active,F004-RESIDENT.1-V1.0,producer,F-004,rag;control-plane;producer-reaffirmation;not-runtime,2026-07-26,,project,,
F004_RESIDENT_REAFFIRMED_DECISION,docs/receipts/F004-RESIDENT-PRODUCER-REAFFIRM-003.txt,pm,approved,active,F004-RESIDENT.1-V1.0,producer,F-004,producer-decision;approved-direction;footprints;vehicle-orders;residents;formal-assets;not-runtime,2026-07-26,,project,F004_PRODUCT_DIRECTION,resolved
F004_RESIDENT_DOCX_V1,output/documents/F004-RESIDENT.1/CityOfAnimals_F004_Resident_Town_Spatial_Autonomy_V1.0_REVIEW.docx,design,generated,superseded,F004-RESIDENT.1-V1.0,design_owner,F-004,docx;historical-review;figma-blocked,2026-07-26,,project,,
F004_RESIDENT_PDF_V1,output/documents/F004-RESIDENT.1/CityOfAnimals_F004_Resident_Town_Spatial_Autonomy_V1.0_REVIEW.pdf,design,generated,superseded,F004-RESIDENT.1-V1.0,design_owner,F-004,pdf;historical-review;figma-blocked,2026-07-26,,project,,
F004_RESIDENT_DOCX,output/documents/F004-RESIDENT.1/CityOfAnimals_F004_Resident_Town_Spatial_Autonomy_V1.1_REVIEW.docx,design,generated,active,F004-RESIDENT.1-V1.1,design_owner,F-004,docx;formal-template;design-review;penpot-readback-verified;user-review-pending;not-runtime,2026-07-26,,project,,
F004_RESIDENT_PDF,output/documents/F004-RESIDENT.1/CityOfAnimals_F004_Resident_Town_Spatial_Autonomy_V1.1_REVIEW.pdf,design,generated,active,F004-RESIDENT.1-V1.1,design_owner,F-004,pdf;review-copy;47-pages;penpot-readback-verified;user-review-pending;not-runtime,2026-07-26,,project,,
GIT_LOCK_READ_ONLY_RECEIPT,docs/receipts/COA-GIT-LOCK-READ-ONLY-001.md,qa,approved,active,GIT-LOCK.1,producer,GLOBAL;F-004,git;remote;locks;privacy;read-only,2026-07-26,,project,,
GIT_LOCK_CONTROL_PLANE_RECEIPT,docs/receipts/COA-GIT-LOCK-CONTROL-PLANE-001.json,pm,approved,active,GIT-LOCK.1,producer,GLOBAL;F-004,control-plane;decision;rag;lock-release,2026-07-26,,project,,
F004_LOCK_RELEASE_RECEIPT,docs/receipts/F004-DESIGN-LOCK-RELEASE-002.md,qa,approved,active,F004-RESIDENT.1,producer,F-004,lock-release;superseded;control-plane;not-runtime,2026-07-26,,project,,
PENPOT_SOURCE_DECISION,docs/decisions/PD-003-penpot-editable-design-source.md,pm,canonical,active,PD-003-V1.0,producer,GLOBAL;F-004,penpot;editable-design;source-of-truth;supersedes-figma-only;not-runtime,2026-07-26,,project,EDITABLE_DESIGN_TOOL,resolved
F004_PENPOT_READ_ONLY_RECEIPT,docs/receipts/F004-RESIDENT-PENPOT-READ-ONLY-004.md,qa,approved,active,F004-RESIDENT.1-V1.1,producer,F-004,rag;control-plane;penpot;read-only;not-runtime,2026-07-26,,project,,
F004_PENPOT_STRUCTURED_DECISION,docs/receipts/F004-RESIDENT-PENPOT-DECISION-004.txt,pm,approved,active,F004-RESIDENT.1-V1.1,producer,F-004,control-plane;structured-decision;penpot;runtime-false,2026-07-26,,project,EDITABLE_DESIGN_TOOL,resolved
F004_PENPOT_HANDOFF_RECEIPT,docs/receipts/F004-RESIDENT-PENPOT-HANDOFF-004.md,qa,approved,active,F004-RESIDENT.1-V1.1,producer,F-004,penpot;handoff;validation;docx;pdf;workbook;runtime-false,2026-07-26,,project,,
F004_PENPOT_CLOUD_READ_ONLY_RECEIPT,docs/receipts/F004-RESIDENT-PENPOT-CLOUD-READ-ONLY-005.md,qa,approved,active,F004-RESIDENT.1-V1.1,producer,F-004,rag;control-plane;penpot-cloud;read-only;not-runtime,2026-07-26,,project,,
F004_PENPOT_CLOUD_HANDOFF_RECEIPT,docs/receipts/F004-RESIDENT-PENPOT-CLOUD-HANDOFF-005.md,qa,approved,active,F004-RESIDENT.1-V1.1,producer,F-004,penpot-cloud;readback-verified;docx;pdf;workbook-staged;user-review-pending;runtime-false,2026-07-26,,project,,
F004_PROGRESS_WORKBOOK_PROMOTE_READ_ONLY_RECEIPT,docs/receipts/F004-RESIDENT-PROGRESS-WORKBOOK-PROMOTE-READ-ONLY-006.md,qa,approved,active,F004-RESIDENT.1-V1.1,producer,F-004,rag;control-plane;workbook;read-only;not-runtime,2026-07-26,,project,,
F004_PROGRESS_WORKBOOK_PROMOTE_RECEIPT,docs/receipts/F004-RESIDENT-PROGRESS-WORKBOOK-PROMOTE-006.md,qa,approved,active,F004-RESIDENT.1-V1.1,producer,F-004,workbook;canonical-sync;artifact-tool;validation;user-review-pending;runtime-false,2026-07-26,,project,,
